Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,8159.10009765625,8204.2001953125,8146.60009765625,8201.2001953125,304400,0.0,0.0
2025-01-03,8201.2001953125,8263.900390625,8200.2001953125,8250.5,329100,0.0,0.0
2025-01-06,8257.400390625,8292.400390625,8257.400390625,8288.5,52200,0.0,0.0
2025-01-07,8257.400390625,8297.599609375,8257.400390625,8285.099609375,424300,0.0,0.0
2025-01-08,8285.099609375,8370.7001953125,8262.2998046875,8349.099609375,488800,0.0,0.0
2025-01-09,8349.099609375,8349.099609375,8291.900390625,8329.2001953125,561900,0.0,0.0
2025-01-10,8329.2001953125,8356.2001953125,8262.2001953125,8294.099609375,525900,0.0,0.0
2025-01-13,8294.099609375,8294.099609375,8160.7001953125,8191.89990234375,523200,0.0,0.0
2025-01-14,8191.89990234375,8253.7998046875,8191.89990234375,8231.0,525500,0.0,0.0
2025-01-15,8231.0,8263.5,8212.900390625,8213.2998046875,502700,0.0,0.0
2025-01-16,8213.2998046875,8345.599609375,8213.2998046875,8327.0,527200,0.0,0.0
2025-01-17,8327.0,8346.7998046875,8303.0,8310.400390625,525900,0.0,0.0
2025-01-20,8347.400390625,8407.099609375,8347.400390625,8402.0,62700,0.0,0.0
2025-01-21,8402.400390625,8429.599609375,8396.2998046875,8420.2998046875,44800,0.0,0.0
2025-01-22,8402.400390625,8455.599609375,8396.2998046875,8429.7998046875,558000,0.0,0.0
2025-01-23,8429.7998046875,8429.7998046875,8366.0,8378.7001953125,543700,0.0,0.0
2025-01-24,8378.7001953125,8421.099609375,8378.7001953125,8408.900390625,434700,0.0,0.0
2025-01-28,8408.900390625,8427.099609375,8386.5,8399.099609375,607900,0.0,0.0
2025-01-29,8401.400390625,8481.599609375,8396.400390625,8447.0,589100,0.0,0.0
2025-01-30,8493.7001953125,8550.2001953125,8493.7001953125,8550.099609375,82600,0.0,0.0
2025-01-31,8493.7001953125,8566.900390625,8493.7001953125,8532.2998046875,738300,0.0,0.0
2025-02-03,8532.2998046875,8532.2998046875,8353.900390625,8379.400390625,598200,0.0,0.0
2025-02-04,8379.400390625,8446.7998046875,8374.0,8374.0,565500,0.0,0.0
2025-02-05,8374.0,8441.2001953125,8374.0,8416.900390625,618200,0.0,0.0
2025-02-06,8416.900390625,8523.2001953125,8416.900390625,8520.7001953125,616800,0.0,0.0
2025-02-07,8520.7001953125,8532.599609375,8498.7001953125,8511.400390625,485000,0.0,0.0
2025-02-10,8511.400390625,8511.400390625,8445.2998046875,8482.7998046875,477700,0.0,0.0
2025-02-11,8482.7998046875,8515.2998046875,8480.599609375,8484.0,670100,0.0,0.0
2025-02-12,8484.0,8535.2998046875,8469.7001953125,8535.2998046875,683600,0.0,0.0
2025-02-13,8535.2998046875,8575.2001953125,8534.599609375,8540.0,776000,0.0,0.0
2025-02-14,8540.0,8615.2001953125,8540.0,8555.7998046875,750900,0.0,0.0
2025-02-17,8537.099609375,8544.7001953125,8505.7998046875,8505.7998046875,81900,0.0,0.0
2025-02-18,8537.099609375,8544.7001953125,8468.7001953125,8481.0,631300,0.0,0.0
2025-02-19,8481.0,8482.0,8389.400390625,8419.2001953125,757300,0.0,0.0
2025-02-20,8419.2001953125,8419.2001953125,8287.7998046875,8322.7998046875,893600,0.0,0.0
2025-02-21,8322.7998046875,8354.0,8289.7001953125,8296.2001953125,698400,0.0,0.0
2025-02-24,8296.2001953125,8310.0,8216.2998046875,8308.2001953125,762700,0.0,0.0
2025-02-25,8308.2001953125,8308.2001953125,8227.599609375,8251.900390625,754100,0.0,0.0
2025-02-26,8251.900390625,8251.900390625,8210.099609375,8240.7001953125,694700,0.0,0.0
2025-02-27,8240.7001953125,8300.0,8240.7001953125,8268.2001953125,694100,0.0,0.0
2025-02-28,8268.2001953125,8268.2001953125,8155.5,8172.39990234375,1960900,0.0,0.0
2025-03-03,8172.39990234375,8251.900390625,8172.39990234375,8245.7001953125,707200,0.0,0.0
2025-03-04,8245.7001953125,8245.7001953125,8150.2001953125,8198.099609375,706000,0.0,0.0
2025-03-05,8198.099609375,8198.099609375,8096.0,8141.10009765625,736500,0.0,0.0
2025-03-06,8141.10009765625,8179.7001953125,8076.39990234375,8094.7001953125,732100,0.0,0.0
2025-03-07,8094.7001953125,8094.7001953125,7946.39990234375,7948.2001953125,672900,0.0,0.0
2025-03-10,7948.2001953125,7978.60009765625,7948.10009765625,7962.2998046875,555900,0.0,0.0
2025-03-11,7962.2998046875,7962.2998046875,7818.2998046875,7890.10009765625,1149100,0.0,0.0
2025-03-12,7890.10009765625,7890.10009765625,7733.5,7786.2001953125,952200,0.0,0.0
2025-03-13,7786.2001953125,7821.10009765625,7746.39990234375,7749.10009765625,821800,0.0,0.0
2025-03-14,7749.10009765625,7795.2998046875,7740.10009765625,7789.7001953125,710100,0.0,0.0
2025-03-17,7792.2998046875,7858.5,7792.2998046875,7854.10009765625,648300,0.0,0.0
2025-03-18,7854.10009765625,7922.89990234375,7850.0,7860.39990234375,700500,0.0,0.0
2025-03-19,7860.39990234375,7868.5,7808.7998046875,7828.2998046875,756800,0.0,0.0
2025-03-20,7828.2998046875,7931.2001953125,7828.2998046875,7918.89990234375,1030200,0.0,0.0
2025-03-21,7918.89990234375,7962.60009765625,7905.10009765625,7931.2001953125,2217500,0.0,0.0
2025-03-24,7931.2001953125,7939.2001953125,7899.5,7936.89990234375,633300,0.0,0.0
2025-03-25,7936.89990234375,7994.0,7936.89990234375,7942.5,651400,0.0,0.0
2025-03-26,7942.5,8014.89990234375,7942.5,7999.0,710600,0.0,0.0
2025-03-27,7999.0,7999.0,7936.2001953125,7969.0,715800,0.0,0.0
2025-03-28,7969.0,8001.0,7941.5,7982.0,600300,0.0,0.0
2025-03-31,7982.0,7982.0,7843.0,7843.39990234375,812600,0.0,0.0
2025-04-01,7843.39990234375,7925.2001953125,7843.39990234375,7925.2001953125,632700,0.0,0.0
2025-04-02,7925.2001953125,7978.39990234375,7925.2001953125,7934.5,649300,0.0,0.0
